ID,Name,Ume.Saami,Source,Example,Comment
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Sammallahti 2012:192,,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Sammallahti 2012:192,,
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Sammallahti 2012:192,,
UT156,Is there a glottal stop /ʔ/?,0,Sammallahti 2012:192,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Sammallahti 2012:192,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Sammallahti 2012:192,,
UT159,Is there a laryngeal fricative /h/?,0,Sammallahti 2012:192,,
UT160,Is there a voiced velar fricative /ɣ/?,0,Sammallahti 2012:192,,
UT161,Is there a voiceless velar fricative /x/?,0,Sammallahti 2012:192,,
UT162,Is there a voiced dental fricative /ð/?,0,Sammallahti 2012:192,,"Some dialects demonstrate /r/ in the place of /ð/, originating from Proto-Saami *δ."
UT163,Is there a labio-velar approximant /w/?,0,Sammallahti 2012:192,,
UT164,Is there a voiceless labiodental fricative /f/?,1,Sammallahti 2012:192,,
UT165,Is there radical qualitative consonant gradation?,1,von Gertten 2015:44-48,,
UT166,Is there quantitative consonant gradation?,1,von Gertten 2015:44-48,,
