ID,Name,Kazym.Khanty,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Rédei 1968:42; HM-O-A 142,"UT001-1, UT001-2",
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Rédei 1968:42,"UT002-1, UT002-2",
UT003,Can finite verbs agree in number with a nominal object?,1,HM-A-O 1973:114; Rédei 1968:84,"UT003-1, UT003-2",In definite conjugation.
UT004,Can an adnominal property word agree with the noun in case?,0,Mária Sipos (p.c. 2021),,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,0,Mária Sipos (p.c. 2021),,
UT006,Can adpositions be used to mark core verbal arguments?,0,Mária Sipos (p.c. 2021),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,"Xomljak 2002:44, 58, 76","UT008-1, UT008-2, UT008-3",
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Mária Sipos (p.c. 2021),,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Mária Sipos (p.c. 2021),,
UT011,Does object marking correlate with aspectuality?,0,Mária Sipos (p.c. 2021),,
UT012,Does object marking depend on the verb conjugation form?,0,Mária Sipos (p.c. 2021),,
UT013,Is there differential subject marking?,0,Mária Sipos (p.c. 2021),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Mária Sipos (p.c. 2021),,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Mária Sipos (p.c. 2021),,
UT016,Is there grammatical marking of habituality?,0,Mária Sipos (p.c. 2021),,
UT017,Is there grammatical marking of frequentativity?,1,Mária Sipos (p.c. 2021),UT017,
UT018,Is there grammatical marking of progressivity?,0,Mária Sipos (p.c. 2021),,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Mária Sipos (p.c. 2021),UT019,
UT020,Is there grammatical marking of the immediate future?,0,Mária Sipos (p.c. 2021),,
UT021,Is there grammatical marking of the pluperfect?,0,Mária Sipos (p.c. 2021),,
UT022,Can aspect be expressed overtly in the negative marker?,0,Mária Sipos (p.c. 2021),,
UT023,Can tense be expressed overtly in the negative marker?,0,Mária Sipos (p.c. 2021),,
UT024,Is there grammatical marking of mirativity?,0,Mária Sipos (p.c. 2021),,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Mária Sipos (p.c. 2021),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,0,Mária Sipos (p.c. 2021),,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,0,Mária Sipos (p.c. 2021),,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Mária Sipos (p.c. 2021),,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Mária Sipos (p.c. 2021),,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Mária Sipos (p.c. 2021),,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",0,Mária Sipos (p.c. 2021),,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Mária Sipos (p.c. 2021),,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Mária Sipos (p.c. 2021),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Mária Sipos (p.c. 2021),,
UT035,Is there a reflexive conjugation?,0,Mária Sipos (p.c. 2021),,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,"Honti 1984:119, 136","UT037-1, UT037-2, UT037-3, UT037-4",
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,0,Mária Sipos (p.c. 2021),,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,Mária Sipos (p.c. 2021),,
UT201,Can an infinitival verb form be used in a directive function?,0,Mária Sipos (p.c. 2021),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Xomljak 2002:58,UT043,
UT044,Are there sentences without overt verbal arguments?,1,Solovar 2009:242,"UT044-1, UT044-2",
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Mária Sipos (p.c. 2021),,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Obatina and Prokina 1995:105,UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Solovar 2009:44,UT047,"In certain cases, there is a copula: in nɛŋ-en mil nǫmn wǫʌ (DET woman-2SG cap on.top be.PRS.3SG) ’This woman’s cap is on top’."
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Mária Sipos (p.c. 2021),"UT048-1, UT048-2","In traditional Khanty, coordinating conjunction is rare."
UT049,Does existential negation have a special negator?,1,Xomljak 2002:54,UT049,
UT050,Can standard negation be asymmetric in the present tense?,0,Mária Sipos (p.c. 2021),,
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Steinitz 1989:395,UT051,
UT052,Is there a special negator that combines with non-finite forms?,0,Mária Sipos (p.c. 2021),,
UT053,Are there special negative non-finite forms?,0,Mária Sipos (p.c. 2021),,
UT054,Is there an impersonal passive construction?,1,Rédei 1968:36,UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",0,Mária Sipos (p.c. 2021),,
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Mária Sipos (p.c. 2021),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Mária Sipos (p.c. 2021),,
