ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT139-2,лоа̄гк,ɫɒːgː,,ceiling.NOM.SG,ceiling,Kuruč 1985:161
UT141-1,стуэлльп,stuəlʲːpʲː,,pillar.NOM.SG,pillar,Kuruč 1985:327
UT141-2,школа,ʃkoɫa,,school.NOM.SG,school,Antonova and Scheller 2021: школа
UT143-1,чонт,ʧont,,throat.NOM.SG,throat,Ilya Egorov (p.c. 2024)
UT143-2,чо̄ннтхэ,ʧoːnːtː.xə,,throat.DAT.SG,to the throat,Ilya Egorov (p.c. 2024)
UT144,пэ̄кксмэ,pəːkːsːmə,,lip.DAT.SG,to the lip,Ilya Egorov (p.c. 2024)
UT146-1,вӯдӭсь,wuːdʲesʲ,,huracan.NOM.SG,huracan,Kuruč 1985:53
UT146-2,коа̄зя,kɒzʲa,,cat.DIM.NOM.SG,kitten,Kuruč 1985:119
UT146-3,тӣдтӭ,tʲiːdʲːe,,know.INF,to know,Kuruč 1985:347
UT146-4,маннҍ,manʲː,,egg.NOM.SG,egg,Kuruč 1985:182
UT147-1,пӣйвенҍ,pʲiːjvʲenʲ,,day.COM.SG,with the day,Antonova and Scheller 2021: пе̄ййв
UT147-2,ке̄бпель,kʲeːbʲːelʲ,,paw.NOM.SG,paw,Kuruč 1985:104
UT147-3,савехь,savʲexʲ,,skis.NOM,skis,Kuruč 1985:311
UT149-1,маннь,maɲː,,daughter-in-law.NOM.SG,daughter-in-law,Kuruč 1985:182
UT149-2,нюаллэ,ɲuaɫːə,,lick.INF,to lick,Kuruč 1985:220
UT151,маӈӈа,maŋːa,,afterwards,afterwards,Kuruč 1985:183
UT152-1,цуэмп,ʦuemp,,frog.NOM.SG,frog,Kuruč 1985:382
UT152-2,воа̄ц,wɒːʦ,,mitten.NOM.PL,mittens,Kuruč 1985:47
UT153,ве̄джяр,vʲeːʥar,,hammer.NOM.PL,hammer,Kuruč 1985:397
UT154-1,сувв,suwː,,smoke.NOM.PL,smoke,Kuruč 1985:328
UT154-2,шӯвв,ʃuːwː,,good,good,Kuruč 1985:413
UT155-1,баяс,bajas,,about,about,Kuruč 1985:30
UT155-2,дэбэнҍ,debenʲ,,swamp.NOM.SG,swamp,Kuruč 1985:77
UT155-3,гоаррэ,gɒrːə,,towards,towards,Kuruč 1985:75
UT159-1,воа̄һц,wɒːhʦ,,mitten.NOM.SG,mitten,Kuruč 1985:47
UT159-2,ма̄һт,maːht,,can.PRS.3SG,(s)he can,Kuruč 1985:179
UT161-1,хозенҍ,xozʲenʲ,,owner.NOM.SG,owner,Kuruč 1985:375
UT161-2,маххт,maxːtː,,how,how,Kuruč 1985:184
UT163-1,вуэрр,wuərː,,time.NOM.SG,one time,Kuruč 1985:63
UT163-2,сувэсьт,suwəsʲtʲ,,smoke.LOC.SG,smoke,Kuruč 1985:328
UT164-1,ла̄фф,laːfː,,rot.NOM.SG,rot (of tree),Kuruč 1985:155
UT164-2,сэффэ,səfːə,,rush.INF,to rush,Kuruč 1985:339
UT164-3,пэфс,pəfs,,lip.NOM.SG,lip,Kuruč 1985:281
UT166-1,куллэ,kuɫːə,,hear.ING,hear,Kuruč 1985:132
UT166-2,кулэ,kuɫə,,hear.PST.3SG,(s)he heard,Kuruč 1985:132
