ID,Name,Finnish,Source,Example,Comment
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Hakulinen et al. 2004: § 1221-1266,,
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Hakulinen et al. 2004: § 1221-1266,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Hakulinen et al. 2004: § 1262,UT084,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Hakulinen et al. 2004: § 385; Ylikoski 2018,,"In Finnish, prolative (e.g., postitse 'by post') is not counted as a productive case."
UT086,Is there a locative case that expresses goal?,1,"Karlsson 2018: 237-242, 249-251",UT086,
UT087,Is there a locative case that expresses location?,1,"Karlsson 2018: 229-232, 242-246",UT087,
UT088,Is there a locative case that expresses source?,1,"Karlsson 2018: 232-237, 246-249",UT088,
UT089,Is there case syncretism for goal and location marking?,0,Hakulinen et al. 2004: § 1235-1266,,
UT090,Is there case syncretism for location and source marking?,0,Hakulinen et al. 2004: § 1235-1266,,
UT091,Are there two sets of local cases?,1,Hakulinen et al. 2004: § 1238,"UT091-1, UT091-2",
UT092,Are there three or more sets of local cases?,0,Hakulinen et al. 2004: § 1238,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Hakulinen et al. 2004: § 1263-1264,UT093,
UT094,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",1,"Hakulinen et al. 2004: § 1264, 1266",UT094,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Hakulinen et al. 2004: § 1258-1260,"UT095, UT096",
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",1,Hakulinen et al. 2004: § 1258,UT096,
UT097,Is there a dedicated case that expresses equativity?,0,Hakulinen et al. 2004:in passim,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Hakulinen et al. 2004:in passim,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Hakulinen et al. 2004:in passim,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Hakulinen et al. 2004:in passim,,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Hakulinen et al. 2004:in passim,,
