ID,Name,Meadow.Mari,Source,Example,Comment
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Riese et al. 2019:255,UT043,
UT044,Are there sentences without overt verbal arguments?,1,Riese et al. 2014:кылмыкташ,UT044,"This typically happens in Mari (only) with causative verb forms. The verbs meaning ‘rain’, ‘snow’ , and ‘blow’ (wind) require a subject."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Riese et al. 2019:295-296,,"Copula is not needed, e.g. тудо пиалан [tudo piɑlɑn] (3SG happy) 's/he is happy'; it is, however, possible to use  one."
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Riese et al. 2019:296-301,UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Riese et al. 2019:305,UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Riese et al. 2017:103,"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,1,"Riese et al. 2019:296, 303","UT049-1, UT049-2",
UT050,Can standard negation be asymmetric in the present tense?,1,Riese et al. 2019:203,"UT050-1, UT050-2",
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Jeremy Bradley (p.c. 2020),,
UT052,Is there a special negator that combines with non-finite forms?,1,"Riese et al. 2019:251, 379-381","UT052-1, UT052-2",The element -ды- [-də- ~ -tə-] is contained in numerous non-finite forms.
UT053,Are there special negative non-finite forms?,1,"Riese et al. 2019:251, 379-381","UT053-1, UT053-2, UT053-3",
UT054,Is there an impersonal passive construction?,0,Riese et al. 2019:391-392,,Realized by a highly productive derivational suffix.
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Riese et al. 2019:251,"UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,Riese et al. 2019:251,"UT056-1, UT056-2",
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Jeremy Bradley (p.c. 2020),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Riese et al. 2019:251,"UT058-1, UT058-2","While the participle is historically complex (negation element + ending of passive participle), it is treated as a unit in modern language."
UT059,Is there a future participle?,1,Riese et al. 2019:263-265,"UT059-1, UT059-2",
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Riese et al. 2019:261,UT060,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Riese et al. 2019:97,,No agreement between modifiers and superordinate nouns in general; participles do not differ from this norm.
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,Riese et al. 2019:252-253,UT063,Works with all participles but the active participle.
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Riese et al. 2019:259,"UT064-1, UT064-2",
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Riese et al. 2019:251,,"The converb in -н, which overwhelmingly forms adverbial forms, forms a very small set of adjectives. This is not a productive process (Riese et al. 2019:269)."
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Riese et al. 2019:21,,"The basic word order is SOV. There is no obvious deviation from the norm in the imperative, at least not on a regular basis."
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Riese et al. 2019:279,,"“The negation verb and the connegative form are tied to one another tightly in Mari. It is unusual for other elements (e.g., adverbs, pronouns) to occupy the space between them and it is unusual for the word order to change – the connegative form by default follows the negation verb.”"
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Jeremy Bradley (p.c. 2020),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Riese et al. 2019:252-253,"UT071-1, UT071-2",
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Riese et al. 2019:250,UT072,"“Non-finite verbal forms are not inflected for tense and mood, but maintain some verbal properties, for example the argument structure (i.e., they can still have objects)."""
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,0,Riese et al. 2019:97,,"Adjectives do not agree with the noun in number in the predicateve position, e.g. нине сӱрет-влак сылне ул-ыт [nine syret-vlɑk səlne ul-ət] (these picture-PL beautiful be-PRS.3PL) 'these pictures are beautiful'."
UT074,Is there a bound superlative degree marker on property words?,0,Riese et al. 2019:104,,Analytic formation is used.
UT075,Can adpositions have person/number marking?,1,Riese et al. 2019:160-163,UT075,
