ID,Name,North.Karelian,Source,Example,Comment
UT124,Is there morphologically conditioned stress?,1,Torikka 2009,UT124,
UT125,Is there fixed primary stress?,1,Sarhimaa 2022:275,UT125,
UT126,Is there stress in heavy syllables?,0,Sarhimaa 2022:275,,
UT127,Is there non-initial primary stress?,0,Sarhimaa 2022:275,,
UT128,Is there palatal vowel harmony?,1,Torikka 2009,UT128,
UT129,Is there velar vowel harmony?,0,Sarhimaa 2022:276,,
UT130,Is there labial vowel harmony?,0,Sarhimaa 2022:276,,
UT131,Are there closing diphthongs?,1,Sarhimaa 2022:273-274,UT131,
UT132,Are there opening diphthongs?,1,Sarhimaa 2022:273-274,UT132,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Sarhimaa 2022:274,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Sarhimaa 2022:274,,
UT135,Is there a high front rounded vowel /y/?,1,Sarhimaa 2022:274,"UT135-1, UT135-2",
UT136,Is there a mid-high front rounded vowel /ø/?,1,Sarhimaa 2022:274,"UT136-1, UT136-2",
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Sarhimaa 2022:274,,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Sarhimaa 2022:274,,
UT139,Is there a low back rounded vowel /ɒ/?,0,Sarhimaa 2022:274,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Sarhimaa 2022:274,"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Sarhimaa 2022:275,"UT141-1, UT141-2, UT141-3",
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Zaikov 2002:28,,
UT143,Are there consonant clusters in the syllable coda?,1,Zaikov 2002:28,UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Zaikov 2002:28,UT143,
UT145,Are there word-final clusters of three or more consonants?,0,Eva Saar (p.c. 2019),,
UT146,Are there palatalized alveolar consonants?,1,Sarhimaa 2022:274-275,"UT146-1, UT146-2",
UT147,Are there palatalized labial and velar consonants?,0,Sarhimaa 2022:274-275,,
UT148,Is there a palatal stop?,0,Sarhimaa 2022:275,,
UT149,Is there a palatal nasal /ɲ/?,0,Sarhimaa 2022:275,,
UT150,Is there a palatal lateral /ʎ/?,0,Sarhimaa 2022:275,,
UT151,Is there a velar nasal /ŋ/?,0,Sarhimaa 2022:275,,"ŋ is an allophone, e.g., kenkät [ˈkeŋ.kæt] 'shoes' "
UT152,Is there an alveolar affricate /t͡s/?,0,Sarhimaa 2022:274,,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Sarhimaa 2022:275,"UT153-1, UT153-2",
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Sarhimaa 2022:275,UT154,"Cf. vasara, sakara (also in Tver) (see Zaikov 2013)."
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Sarhimaa 2022:274,,"In recent loanwords only, e.g., balalaikka."
UT156,Is there a glottal stop /ʔ/?,0,Sarhimaa 2022:275,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Sarhimaa 2022:275,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Sarhimaa 2022:275,,
UT159,Is there a laryngeal fricative /h/?,1,Sarhimaa 2022:275,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Sarhimaa 2022:275,,
UT161,Is there a voiceless velar fricative /x/?,0,Sarhimaa 2022:275,,
UT162,Is there a voiced dental fricative /ð/?,0,Sarhimaa 2022:275,,
UT163,Is there a labio-velar approximant /w/?,0,Sarhimaa 2022:275,,
UT164,Is there a voiceless labiodental fricative /f/?,1,Torikka 2009:f,,
UT165,Is there radical qualitative consonant gradation?,1,Sarhimaa 2022:276-277,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,1,Sarhimaa 2022:276-277,"UT166-1, UT166-2",
