ID,Name,Central.Veps,Source,Example,Comment
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,0,"Nina Zaiceva, p.c.",,
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,"Nina Zaiceva, p.c.",,
UT101,Can the marking of the possessor in the attributive construction vary?,0,"Nina Zaiceva, p.c.",,
UT102,Can the possessor in the attributive construction be marked with the nominative?,0,"Nina Zaiceva, p.c.",,
UT103,Is non-singular possession marked in the possessive declension?,0,"Nina Zaiceva, p.c.",,
UT104,Can 2Sg possessive suffix be used to mark definiteness? ,0,"Nina Zaiceva, p.c.",,
UT105,Can 3Sg possessive suffix be used to mark definiteness? ,0,"Nina Zaiceva, p.c.",,
UT106,Is there animacy distinction in independent interrogative pronouns?,1,"Nina Zaiceva, p.c.",mi;;what;|ken;;who;,
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",1,"Nina Zaiceva, p.c.","koira-d, ked nuta-ba;dog-PL who bark-3PL;The dogs, who are barking;","However, kudambad would be more common."
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",0,"Nina Zaiceva, p.c.",,
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,1,"Nina Zaiceva, p.c.",se-se tulo-b;this-DEF come-3SG;this comes;,
UT110,Is the order of possessive suffix and case suffix across the paradigm the same?,1,"Nina Zaiceva, p.c.",Anda mama-le-in';give.IMP.2SG mother-ALL-POSS.1SG;Give it to my mother!;|minu-ssa-in-päi;1SG-INE-POSS.1SG-INE;from myself;,"With secondary case endings the possessive suffix appears in between, but it still follows the first part of the suffix."
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,1,"Nina Zaiceva, p.c.",kaži-ta;cat-ABE;without a cat;,
UT112,Are there different words for mother’s brother and father’s brother?,0,"Nina Zaiceva, p.c.",,
UT113,Are there different words for younger and older relative for other relations than siblings?,0,"Nina Zaiceva, p.c.",,
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,"Nina Zaiceva, p.c.",,
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,"Nina Zaiceva, p.c.",,
UT116,Is there contrastive length of consonants?,1,"Nina Zaiceva, p.c.",tulii [ˈtu.lʲij] 'coming' vs. tullei [ˈtulʲ.lʲei] 'wind',"Also sinä/sina 'you' vs. sinnä/sinna 'there', ropak 'crooked' vs. roppaz 'hummock ice'.
"
UT117,Is there contrastive length of vowels?,0,"Nina Zaiceva, p.c.",,
UT118,Is there contrast between short and long unstressed vowels?,0,"Nina Zaiceva, p.c.",,
UT119,Is there contrast in duration of geminate consonants?,0,"Nina Zaiceva, p.c.",,
UT120,Are there more than two phonological quantities? ,0,"Nina Zaiceva, p.c.",,
UT121,Are there extralong syllables? ,1,"Nina Zaiceva, p.c.","kauktan [ˈkauk.tan] cold/chilly.GEN.SG, kauktoid [ˈkauk.toid] cold/chilly.PRT.SG",
UT122,Is the main foot structure trochaic?,1,"Nina Zaiceva, p.c.",kana [ˈka.naˑ] ’hen’,
UT123,Is there lexically distinctive word stress?,0,"Nina Zaiceva, p.c.",,
UT124,Is there morphologically conditioned stress?,1,"Nina Zaiceva, p.c.","sömine [ˈsʲøˌmi.nʲe] 'eating', pezemine [ˈpe.zeˌmi.ne] 'washing' ",
UT125,Is there fixed primary stress?,1,"Nina Zaiceva, p.c.",kana [ˈka.naˑ] 'hen',
UT126,Is there stress in heavy syllables?,0,"Nina Zaiceva, p.c.",,
UT127,Is there non-initial primary stress?,0,"Nina Zaiceva, p.c.",,
UT128,Is there palatal vowel harmony?,0,"Nina Zaiceva, p.c.",,
UT129,Is there velar vowel harmony?,0,"Nina Zaiceva, p.c.",,
UT130,Is there labial vowel harmony? ,0,"Nina Zaiceva, p.c.",,
UT131,Are there rising diphthongs? ,1,"Nina Zaiceva, p.c.","kauh [kauh] 'scoop, dipper' ","ai, au, ou etc."
UT132,Are there lowering diphthongs?,0,"Nina Zaiceva, p.c.",,
UT133,Is there qualitative contrast between subsets of short and long vowels?,0,"Nina Zaiceva, p.c.",,
UT134,Are there full vs. reduced vowels as contrastive subsets? ,0,"Nina Zaiceva, p.c.",,
UT135,Is there front high rounded vowel ü [y]?,1,"Nina Zaiceva, p.c.",pü [py] 'Tetrastes bonasia',
UT136,Is there front midhigh rounded vowel ö [ø]?,1,"Nina Zaiceva, p.c.","sö [ˈsʲø] eat.IMP.2SG, ö [ø] 'night', vöhö [ˈvø.hø] belt.ILL",
UT137,Is there back high unrounded vowel ï [ɯ]?,1,"Nina Zaiceva, p.c.","kyir [ˈkɯir] 'dog', pyig [ˈpɯig] 'son'",Also occurs as a monophthong.
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,0,Zaiceva 1981,,Dialectally and in some diphthongs.
UT139,Is there back low round vowel [ɒ]?,0,"Nina Zaiceva, p.c.",,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,"Nina Zaiceva, p.c.",pen´ [penʲ] 'small' vs. pän [pæn] head.GEN.SG,
UT141,Are there word-initial consonant clusters?,1,"Nina Zaiceva, p.c.","stauc [staut͡s] 'bowl', kričtta [ˈkrit͡ʃ.ta]  scream.INF",
UT142,Are there word-internal consonant clusters in syllable onset?,0,"Nina Zaiceva, p.c.",,
UT143,Are there consonant clusters in syllable coda?,1,"Nina Zaiceva, p.c.","hurstid [ˈhurs.tʲid] '(linen) fabrics, towels, carpets' ",
UT144,Are there clusters of three or more consonants in a word between vowels?,1,"Nina Zaiceva, p.c.",korktad [ˈkork.tad] high.NOM.PL,
UT145,Are there word-final clusters of three or more consonants?,1,"Nina Zaiceva, p.c.","hurst´ [ˈhurstʲ] '(linen) fabric, towel, carpet'  ",
