ID,Name,Ludian,Source,Example,Comment
UT146,Are there palatalized dentals? ,1,"Aleksandra Rodionova & Eva Saar, p.c.",hill´ [ˈhilʲː] 'quiet',Cf. hall [halː] ‘frost’
UT147,Are there palatalized labials and velars? ,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT148,Is there palatal stop [c]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT149,Is there palatal nasal [ɲ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT150, Is there palatal lateral [ʎ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT151,Is there phonemic velar nasal [ŋ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT152,Is there dental affricate [t͡s]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,"Only in loanwords, e.g. cuar´ [t͡suarʲ] 'czar', revolucaid revolution.PRT.SG"
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,"Aleksandra Rodionova & Eva Saar, p.c.","čipettädä [ˈt͡ʃi.pet.tæ.dæ] 'drizzle', čakata [ˈt͡ʃa.ka.ta] 'quarrel; squabble'",
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,"Aleksandra Rodionova & Eva Saar, p.c.",mušto [ˈmuʃ.to] 'memory',
UT155,"Are there voiced plosives [b, g, d]?",1,"Aleksandra Rodionova & Eva Saar, p.c.",babarm [ˈba.barm] 'raspberry',
UT156,Is there glottal stop [ˀ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT158,Is there a constraint on word-initial r?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT159,Is there laryngeal fricative [h]?,1,"Aleksandra Rodionova & Eva Saar, p.c.",hein [hein] 'hay',
UT160,Is there voiced velar fricative [ɣ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT161,Is there voiceless velar fricative [x]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT162,Is there voiced dental fricative [ð]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT163,Is there phonemic labio-velar approximant [w]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT164,Is there voiceless labiodental fricative [f]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT165,Is there radical qualitative consonant gradation?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,"Only quantitative consonant gradation (see UT165).
"
UT166,Is there quantitative consonant gradation?,1,"Aleksandra Rodionova & Eva Saar, p.c.",hukkad [ˈhuk.kad] wolf.PRT.SG vs. hukad [ˈhu.kad] wolf.NOM.PL,
