ID,Name,Kildin.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Kert 1971:136-139; 178-181; Rießler 2022:227,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Rießler 2022:233,,Only quantity phrases with a noun in the genitive singular or essive do not agree with verbal predicates.
UT003,Can finite verbs agree in number with a nominal object?,0,Kert 1971:in passim; Rießler 2022:233-234,,
UT004,Can an adnominal property word agree with the noun in case?,0,Kert 1971:230; 272; Rießler 2022:233-234,,
UT005,Is there non-agreement between an adnominal property word and the head noun?,1,Ilya Egorov (p.c. 2024),"UT005-1, UT005-2","Demonstrative pronouns do not agree in terms of case in the adnominal position when a noun is marked with a case other than comitative singular (but not plural), genitive, or nominative. Numerals from 'one' to 'six' demonstrate similar behavior. Demonstrative pronouns and numerals are marked with genetive, however, this form can be analyzed as an underspecified oblique form as well."
UT006,Can adpositions be used to mark core verbal arguments?,0,Kert 1971:212-217; Rießler 2022:in passim,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Szabó 1984a; Szabó 1985,"UT008-1, UT008-2",Non-finites require marking an S/A-argument with genitive or comitative.
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Szabó 1984a; Szabó 1985,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Kert 1971:in passim; Rießler 2022:in passim,,
UT011,Does object marking correlate with aspectuality?,0,Kert 1971:in passim; Rießler 2022:in passim,,
UT012,Does object marking depend on the verb conjugation form?,0,Kert 1971:in passim; Rießler 2022:in passim,,
UT013,Is there differential subject marking?,0,Kert 1971:in passim; Rießler 2022:in passim,,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Kert 1971:in passim; Rießler 2022:in passim,UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Kert 1971:in passim; Rießler 2022:in passim,,
UT016,Is there grammatical marking of habituality?,1,Kert 1987,"UT016-1, UT116-2",Habitual and frequentative meanings are marked with the same derivational suffix.
UT017,Is there grammatical marking of frequentativity?,1,Kert 1987,"UT005-1, UT116-2",Habitual and frequentative meanings are marked with the same derivational suffix.
UT018,Is there grammatical marking of progressivity?,1,Maria Kosheleva (p.c. 2025),"UT018-1, UT018-2",
