ID,Name,Ter.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Szabó 1968:94-117; Tereshkin 2002:120-134,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Szabó 1968:94-117; Tereshkin 2002:120-134,,Only quantity phrases with a noun in the genitive singular or essive do not agree with verbal predicates.
UT003,Can finite verbs agree in number with a nominal object?,0,Szabó 1968:94-117; Tereshkin 2002:120-134,,
UT004,Can an adnominal property word agree with the noun in case?,0,Szabó 1968:102-103; Tereshkin 2002:114-116,,
UT005,Is there non-agreement between an adnominal property word and the head noun?,1,Szabó 1968:103-104,"UT005-1, UT005-2",
UT006,Can adpositions be used to mark core verbal arguments?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,?,Ilya Egorov (p.c. 2025),,No non-finite clauses with overt subject have been attested in the corpus.
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Szabó 1985,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT011,Does object marking correlate with aspectuality?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT012,Does object marking depend on the verb conjugation form?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT013,Is there differential subject marking?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Ilya Egorov (p.c. 2025),"UT014-1, UT014-2",
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Ilya Egorov (p.c. 2025),,
UT016,Is there grammatical marking of habituality?,1,Itkonen 1958:in passim,UT016,Habitual and frequentative meanings are marked with the same derivational suffix.
UT017,Is there grammatical marking of frequentativity?,1,Itkonen 1958:in passim,UT017,Habitual and frequentative meanings are marked with the same derivational suffix.
UT018,Is there grammatical marking of progressivity?,0,Itkonen 1958:in passim; Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Tereshkin 2002:127,"UT019-1, UT019-2","Telic verbs in the present tense refer to the future. However, atelic verbs in the present tense can only refer to the future in the context of planned activities."
UT020,Is there grammatical marking of the immediate future?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT021,Is there grammatical marking of the pluperfect?,1,Tereshkin 2002:131,UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,Szabó 1968:115-116; Tereshkin 2002:120-134,,
UT023,Can tense be expressed overtly in the negative marker?,0,Szabó 1968:115-116; Tereshkin 2002:120-134,,
UT024,Is there grammatical marking of mirativity?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Szabó 1968:115; Tereshkin 2002:121-123,"UT026-1, UT026-2",
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Szabó 1968:115; Tereshkin 2002:121-123,"UT027-1, UT027-2",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Szabó 1968:94-117; Tereshkin 2002:120-134,,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Sammallahti manuscript,UT029,Only one source provides examples of special morphological marking of potential mood
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Szabó 1968:94-117; Tereshkin 2002:120-134,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Sammallahti manuscript,"UT031-1, UT031-2",Only one source provides examples of jussive forms
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Szabó 1968:114; Tereshkin 2002:124-125,,
