ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,UT_Experts,GB_Experts,Subfamily
20,Erzya,,54.74,45.88,erzy1239,myv,alhoniemi_zur_1991;arkhangelskiy_web_2020;bakro-nagy_mordvin_2022;bartens_mordvalaiskielten_1999;lehiste_erzya_2003;shagal_participial_2018;teptiuk2020quotative,aasmaeniina bernhardtmariann teptiukdenys,aasmaeniina bernhardtmariann podlesnyprzemysaw,Mordvin
21,Moksha,,54.15,43.87,moks1248,mdf,aasmae_moksha_2013;arkhangelskiy_web_2020;bakro-nagy_mordvin_2022;bartens_mordvalaiskielten_1999;koljadenkov_grammatika_1962;toldova_elementy_2018,aasmaeniina bernhardtmariann,hamariarja bernhardtmariann teptiukdenys,Mordvin
22,Komi_Zyrian,,64.05,54.95,komi1268,kpv,bakro-nagy_komi_2022;beznosikova_komi-roc_2000;ludykova_oi_2000;lytkin_sovremennyj_1955;noauthor_komi-zyrian_nodate;okk_okk_1998;selkov__1967,kuznetsovnikolay,bloklandrogier kuznetsovnikolay podlesnyprzemysaw,Permic
23,Udmurt,,57.11,52.89,udmu1245,udm,alatyrjev_kratkij_1983b;arkhangelskiy_case_2018;arkhangelskiy_web_2020;bakro-nagy_udmurt_2022;bartens_permilaisten_2000;belyaev_korreljativnaja_2012;dusenkova_2008;edygarova_attributive_2009;edygarova_kategorija_2010;gsuja_grammatika_1962;gulyas_impersonals_2014;kelmakov_udmurtin_1994;kelmakov_udmurtin_2008;kirillova_udmurtsko-russkij_2008;klumpp_semantic_2016;shagal_participial_2018;shibanov_sintaksis_2014;shlyakhova_study_2013;winkler_udmurt_2001;winkler_udmurtische_2011,edygarovasvetlana kuznetsovnikolay,teptiukdenys,Permic
24,Hungarian,,46.91,19.66,hung1274,hun,abondolo_introduction_2023;bakro-nagy_hungarian_2022;balogh_magyar_2000;dalmi_inclusory_2024;gulyas_antipassive_2015;havas_basic_2015;havas_typological_2015;kenesei_hungarian_1998;kiss_syntax_2002;korchmaros_valeria_lepesenkent_2009;laczko_demonstrative_2010;rounds_hungarian_2001;shagal_participial_2018;vincze_learning_2013,bernhardtmariann csepregimarta pomozipeter,bernhardtmariann fgulyasnikolett runklamihkel,Ugric
25,East_Mansi,,60.2,65.49,east2879,mns,bakro-nagy_east_2022-1;bakro-nagy_north_mansi_2022;kalman_wogulisches_1986;kulonen_itamansin_2007;kulonen_itamansin_2017;virtanen_transitivity_2015,forsbergullamaija,forsbergullamaija virtanensusanna,Ugric
26,North_Mansi,,63.64,61.75,mans1258,mns,abondolo_mansi_2023;afanasyeva_mansijsko_2012;bakro-nagy_north_mansi_2022;kalman_wogulisches_1986;nikolaeva_semantics_1999;oudb_ob-ugric_2017;riese_baladins_2020;riese_vogul_2001;rombandeeva_wogulische_1984;skribnik_complex_2005;skribnik_infinitivnye_1995;skribnik_prakticheskij_2007;skribnik_sistema_1991;virtanen_template_2021,bakronagymarianne bradleyjeremy horvathcsilla skribnikelena,virtanensusanna,Ugric
27,Kazym_Khanty,,62.43,66.12,khan1273,kca,Solovar_2011;bakro-nagy_north_2022;honti_chrestomathia_1984;kaksin_kdxja_2010;obatina__1995;redei_nord-ostjakische_1968;shagal_participial_2018;solovar__2009;steinitz_dewos_1966;steinitz_ostjakologische_1989;xomljak_am_2002;xvataj__1958,siposmaria,,Ugric
28,Surgut_Khanty,,61.25,73.35,surg1248,kca,bakro-nagy_east_2022;csepregi__2017;csepregi_new_1999;glushak_-_2006;oudb_ob-ugric_2017,csepregimarta,fedotovaidaliia,Ugric
29,Forest_Enets,,68.55,85.83,fore1265,enf,0e71351f2e3e40c3bb78a86cf79f9948;abondolo_forest_2023;khanina__2016;khanina__2017;khanina_intransitive_2019;khanina_rare_2014;ovsjannikova_oblique_2020;shluinsky_forest_2025;shluinsky_noun_2020;siegl_2022;siegl_materials_2013,khaninaolesya,khaninaolesya,Samoyedic
