ID,Parameter_ID,Name,Description
UT097-0,UT097,0,no
UT098-1,UT098,1,yes
UT098-0,UT098,0,no
UT099-1,UT099,1,yes
UT099-0,UT099,0,no
UT100-1,UT100,1,yes
UT100-0,UT100,0,no
UT101-1,UT101,1,yes
UT101-0,UT101,0,no
UT102-1,UT102,1,yes
UT102-0,UT102,0,no
UT103-1,UT103,1,yes
UT103-0,UT103,0,no
UT104-1,UT104,1,yes
UT104-0,UT104,0,no
UT105-1,UT105,1,yes
UT105-0,UT105,0,no
UT106-1,UT106,1,yes
UT106-0,UT106,0,no
UT107-1,UT107,1,yes
UT107-0,UT107,0,no
UT108-1,UT108,1,yes
UT108-0,UT108,0,no
UT109-1,UT109,1,yes
UT109-0,UT109,0,no
UT110-1,UT110,1,yes
UT110-0,UT110,0,no
UT111-1,UT111,1,yes
UT111-0,UT111,0,no
UT112-1,UT112,1,yes
UT112-0,UT112,0,no
UT113-1,UT113,1,yes
UT113-0,UT113,0,no
UT114-1,UT114,1,yes
UT114-0,UT114,0,no
UT115-1,UT115,1,yes
UT115-0,UT115,0,no
UT116-1,UT116,1,yes
UT116-0,UT116,0,no
UT117-1,UT117,1,yes
UT117-0,UT117,0,no
UT118-1,UT118,1,yes
UT118-0,UT118,0,no
UT119-1,UT119,1,yes
UT119-0,UT119,0,no
UT120-1,UT120,1,yes
UT120-0,UT120,0,no
UT121-1,UT121,1,yes
UT121-0,UT121,0,no
UT122-1,UT122,1,yes
UT122-0,UT122,0,no
UT123-1,UT123,1,yes
UT123-0,UT123,0,no
UT124-1,UT124,1,yes
UT124-0,UT124,0,no
UT125-1,UT125,1,yes
UT125-0,UT125,0,no
UT126-1,UT126,1,yes
UT126-0,UT126,0,no
UT127-1,UT127,1,yes
UT127-0,UT127,0,no
UT128-1,UT128,1,yes
UT128-0,UT128,0,no
UT129-1,UT129,1,yes
UT129-0,UT129,0,no
UT130-1,UT130,1,yes
UT130-0,UT130,0,no
UT131-1,UT131,1,yes
UT131-0,UT131,0,no
UT132-1,UT132,1,yes
UT132-0,UT132,0,no
UT133-1,UT133,1,yes
UT133-0,UT133,0,no
UT134-1,UT134,1,yes
UT134-0,UT134,0,no
UT135-1,UT135,1,yes
UT135-0,UT135,0,no
UT136-1,UT136,1,yes
UT136-0,UT136,0,no
UT137-1,UT137,1,yes
UT137-0,UT137,0,no
UT138-1,UT138,1,yes
UT138-0,UT138,0,no
UT139-1,UT139,1,yes
UT139-0,UT139,0,no
UT140-1,UT140,1,yes
UT140-0,UT140,0,no
UT141-1,UT141,1,yes
UT141-0,UT141,0,no
UT142-1,UT142,1,yes
UT142-0,UT142,0,no
UT143-1,UT143,1,yes
UT143-0,UT143,0,no
UT144-1,UT144,1,yes
UT144-0,UT144,0,no
UT145-1,UT145,1,yes
UT145-0,UT145,0,no
UT146-1,UT146,1,yes
UT146-0,UT146,0,no
UT147-1,UT147,1,yes
UT147-0,UT147,0,no
UT148-1,UT148,1,yes
UT148-0,UT148,0,no
UT149-1,UT149,1,yes
UT149-0,UT149,0,no
UT150-1,UT150,1,yes
UT150-0,UT150,0,no
UT151-1,UT151,1,yes
UT151-0,UT151,0,no
UT152-1,UT152,1,yes
UT152-0,UT152,0,no
UT153-1,UT153,1,yes
UT153-0,UT153,0,no
UT154-1,UT154,1,yes
UT154-0,UT154,0,no
UT155-1,UT155,1,yes
UT155-0,UT155,0,no
UT156-1,UT156,1,yes
UT156-0,UT156,0,no
UT157-1,UT157,1,yes
UT157-0,UT157,0,no
UT158-1,UT158,1,yes
UT158-0,UT158,0,no
UT159-1,UT159,1,yes
UT159-0,UT159,0,no
UT160-1,UT160,1,yes
UT160-0,UT160,0,no
UT161-1,UT161,1,yes
UT161-0,UT161,0,no
UT162-1,UT162,1,yes
UT162-0,UT162,0,no
UT163-1,UT163,1,yes
UT163-0,UT163,0,no
UT164-1,UT164,1,yes
UT164-0,UT164,0,no
UT165-1,UT165,1,yes
UT165-0,UT165,0,no
UT166-1,UT166,1,yes
UT166-0,UT166,0,no
