ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Kaškin et al. 2023:in passim,,
GB021,Are there indefinite or non-specific articles?,0,Kaškin et al. 2023:in passim,,
GB022,Are there prenominal articles?,0,Kaškin et al. 2023:in passim,,
GB023,Are there postnominal articles?,0,Kaškin et al. 2023:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,Kaškin et al. 2023:158-159,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Kaškin et al. 2023:158-159,,GB025
GB026,Can adnominal property words occur discontinuously?,0,Kaškin et al. 2023:173-191,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Kaškin et al. 2023:685,"The comitative postposition don(o), however, can be used to express nominal conjunction.","GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Kaškin et al. 2023:33-34,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Kaškin et al. 2023:33-34,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,"Kaškin et al. 2023:33-34, 47, 50-52",,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Kaškin et al. 2023:34-36,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,Kaškin et al. 2023:34-36,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Kaškin et al. 2023:34-36,,
GB038,Are there demonstrative classifiers?,0,Kaškin et al. 2023:34-36,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Kaškin et al. 2023:12-13,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Kaškin et al. 2023:12-13,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Kaškin et al. 2023:12-13,,
GB043,Is there a productive morphological dual marker on nouns?,0,Kaškin et al. 2023:12-13,,
GB044,Is there a productive morphological plural marker on nouns?,1,"Kaškin et al. 2023:12-13, 71-83",,GB044
GB046,Is there an associative plural marker for nouns?,1,Kaškin et al. 2023:80-81,,GB046
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Kaškin et al. 2023:69-70,,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Kaškin et al. 2023:67-68,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Kaškin et al. 2023:in passim,,
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Kaškin et al. 2023:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Kaškin et al. 2023:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Kaškin et al. 2023:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Kaškin et al. 2023:in passim,,
GB057,Are there numeral classifiers?,0,Kaškin et al. 2023:in passim,,
GB058,Are there possessive classifiers?,0,Kaškin et al. 2023:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Kaškin et al. 2023:in passim,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Kaškin et al. 2023:158-159,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Kaškin et al. 2023:561-566,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Kaškin et al. 2023:172-191,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Kaškin et al. 2023:556-557,,GB072
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Kaškin et al. 2023:556-557,,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Kaškin et al. 2023:557,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Kaškin et al. 2023:33-34,,GB193
GB074,Are there prepositions?,0,Kaškin et al. 2023:in passim,,
GB075,Are there postpositions?,1,Kaškin et al. 2023:41-44,,"GB114, GB130"
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Kaškin et al. 2023:49-63,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Kaškin et al. 2023:49-63,,"GB024, GB025"
GB081,Is there productive infixation in verbs?,0,Kaškin et al. 2023:45-71,,
GB082,Is there overt morphological marking of present tense on verbs?,0,Kaškin et al. 2023:50,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Kaškin et al. 2023:50-52,,"GB253, GB433"
