ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Khanina and Shluinsky 2023:in passim,,
GB021,Are there indefinite or non-specific articles?,0,Khanina and Shluinsky 2023:in passim,,
GB022,Are there prenominal articles?,0,Khanina and Shluinsky 2023:in passim,,
GB023,Are there postnominal articles?,0,Khanina and Shluinsky 2023:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,Khanina and Shluinsky 2023:831,Modifiers typically precede the head noun.,
GB025,What is the order of adnominal demonstrative and noun?,1,Khanina and Shluinsky 2023:831,Modifiers typically precede the head noun.,
GB026,Can adnominal property words occur discontinuously?,0,Shluinsky 2020:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Khanina and Shluinsky 2023:801,The locative case can be used used for the comitative.,
GB028,Is there a distinction between inclusive and exclusive?,0,Khanina and Shluinsky 2023:807-809,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Khanina and Shluinsky 2023:in passim,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,1,Khanina and Shluinsky 2023:807-809,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Khanina and Shluinsky 2023:811,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,Khanina and Shluinsky 2023:811,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Khanina and Shluinsky 2023:811,,
GB038,Are there demonstrative classifiers?,0,Khanina and Shluinsky 2023:in passim,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Khanina and Shluinsky 2023:799,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Khanina and Shluinsky 2023:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Khanina and Shluinsky 2023:799,,
GB043,Is there a productive morphological dual marker on nouns?,1,Khanina and Shluinsky 2023:799,,
GB044,Is there a productive morphological plural marker on nouns?,1,Khanina and Shluinsky 2023:799,,
GB046,Is there an associative plural marker for nouns?,0,Khanina and Shluinsky 2023:in passim,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Khanina and Shluinsky 2023:827,,
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Khanina and Shluinsky 2023:827,The suffix -xaz / -kaz / -gaz is used to derive an agent noun from a verb.,
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Khanina and Shluinsky 2023:827,,
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Khanina and Shluinsky 2023:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Khanina and Shluinsky 2023:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Khanina and Shluinsky 2023:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Khanina and Shluinsky 2023:in passim,,
GB057,Are there numeral classifiers?,0,Khanina and Shluinsky 2023:in passim,,
GB058,Are there possessive classifiers?,0,Khanina and Shluinsky 2023:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Khanina and Shluinsky 2023:in passim,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Khanina and Shluinsky 2023:831-832,The possesor precedes the possessed noun.,
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",1,Khanina and Shluinsky 2023:805-806; Siegl 2022:725,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Siegl 2022:740-742; Khanina and Shluinsky 2023:833,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Khanina and Shluinsky 2023:800-801,,
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Khanina and Shluinsky 2023:808,"Personal pronouns inflect for the nominative, genitive, and accusative. However, genitive rarely occurs.",
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Khanina and Shluinsky 2023:801-802,,
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Khanina and Shluinsky 2023:809,,
GB074,Are there prepositions?,0,Khanina and Shluinsky 2023:in passim,,
GB075,Are there postpositions?,1,Khanina and Shluinsky 2023:835,,
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Khanina and Shluinsky 2023:in passim,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Khanina and Shluinsky 2023:823-826,,
GB081,Is there productive infixation in verbs?,0,Khanina and Shluinsky 2023:in passim,,
GB082,Is there overt morphological marking of present tense on verbs?,0,Siegl 2022:726-728,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Siegl 2022:726-728,,
GB084,Is there overt morphological marking on the verb dedicated to future tense?,1,Khanina and Shluinsky 2023:823,,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,Khanina and Shluinsky 2023:814,"Each verb is lexically perfective or imperfective, there is no morphological distinction between them.",
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,"Khanina and Shluinsky 2023:815, 819-822",,
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Khanina and Shluinsky 2023:in passim,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,"Khanina and Shluinsky 2023:815, 819-822",,
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Khanina and Shluinsky 2023:in passim,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,"Khanina and Shluinsky 2023:815, 819-822",,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Khanina and Shluinsky 2023:in passim,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Khanina and Shluinsky 2023:800-801,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Khanina and Shluinsky 2023:800-801,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Khanina and Shluinsky 2023:800-801,,
GB099,Is there verb suppletion for participant person?,0,Khanina and Shluinsky 2023:in passim,,
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,Khanina and Shluinsky 2023:804-805,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,Khanina and Shluinsky 2023:823-824,,
GB105,Can the recipient in a ditransitive construction be marked like the transitive patient?,0,"Khanina and Shluinsky 2023:836, 838","Direct objects appear in the nominative or oblique case, while recipients are typically coded with the dative or predestinative case. ",
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,Khanina and Shluinsky 2023:824,,
GB108,Is there directional or locative morphological marking on verbs?,0,Khanina and Shluinsky 2023:815-827,,
GB109,Is there verb suppletion for participant number?,0,Khanina and Shluinsky 2023:in passim,,
GB110,Is there verb suppletion for tense or aspect?,0,Khanina and Shluinsky 2023:in passim,,
GB111,Are there conjugation classes?,1,Siegl 2022:724-726,,
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,Khanina and Shluinsky 2023:829,There are various causative suffixes (marginal applicative uses).,
GB114,Is there a phonologically bound reflexive marker on the verb?,0,Khanina and Shluinsky 2023:808,There is a reflexive pronoun.,
GB115,Is there a phonologically bound reciprocal marker on the verb?,0,Khanina and Shluinsky 2023:808,There is a reciprocal pronoun.,
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,Khanina and Shluinsky 2023:in passim,,
GB117,Is there a copula for predicate nominals?,1,Khanina and Shluinsky 2023:839-840,,
GB118,Are there serial verb constructions?,0,Khanina and Shluinsky 2023:in passim,,
GB119,Can mood be marked by an inflecting word (‘auxiliary verb’)?,0,Khanina and Shluinsky 2023:815-824,,
GB120,Can aspect be marked by an inflecting word (‘auxiliary verb’)?,0,"Khanina and Shluinsky 2023:814, 828-829",,
GB121,Can tense be marked by an inflecting word (‘auxiliary verb’)?,0,Khanina and Shluinsky 2023:815-824,,
GB122,Is verb compounding a regular process?,0,Siegl 2022:749,,
GB123,Are there verb-adjunct (aka light-verb) constructions?,0,Khanina and Shluinsky 2023:in passim,,
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,Khanina and Shluinsky 2023:in passim,,
GB126,Is there an existential verb?,1,Khanina and Shluinsky 2023:840,,
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?,0,Khanina and Shluinsky 2023:in passim,,
GB129,Is there a notably small number of verb roots in the language?,0,Khanina and Shluinsky 2023:in passim,,
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,Siegl 2022:740,,
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,Khanina and Shluinsky 2023:835,,
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,0,Khanina and Shluinsky 2023:835,,
