ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Virtanen and Horváth 2023:669,,
GB021,Are there indefinite or non-specific articles?,0,Virtanen and Horváth 2023:669,,
GB022,Are there prenominal articles?,0,Virtanen and Horváth 2023:669,,
GB023,Are there postnominal articles?,0,Virtanen and Horváth 2023:669,,
GB024,What is the order of numeral and noun in the NP?,1,Bakró-Nagy et al. 2022:554,Modifiers precede their heads.,
GB025,What is the order of adnominal demonstrative and noun?,1,Bakró-Nagy et al. 2022:554,Modifiers precede their heads.,
GB026,Can adnominal property words occur discontinuously?,0,Virtanen and Horváth 2023:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,0,"Bakró-Nagy et al. 2022:543, 554",,
GB028,Is there a distinction between inclusive and exclusive?,0,Bakró-Nagy et al. 2022:544,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Bakró-Nagy et al. 2022:544,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,1,Bakró-Nagy et al. 2022:544,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Bakró-Nagy et al. 2022:545,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,Bakró-Nagy et al. 2022:545,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Bakró-Nagy et al. 2022:545,,
GB038,Are there demonstrative classifiers?,0,Bakró-Nagy et al. 2022:545,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Bakró-Nagy et al. 2022:542,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Susanna Virtanen (p.c. 2026),,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Bakró-Nagy et al. 2022:542,,
GB043,Is there a productive morphological dual marker on nouns?,1,Bakró-Nagy et al. 2022:542,,
GB044,Is there a productive morphological plural marker on nouns?,1,Bakró-Nagy et al. 2022:542,,
GB046,Is there an associative plural marker for nouns?,1,Riese 2001:23,The collective suffix -ńś can be used with terms denoting kinship to express a collective or comitative meaning.,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Bakró-Nagy et al. 2022:546,,
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,0,Riese 2001:56-57; Virtanen and Horváth 2023:674-675,,
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Bakró-Nagy et al. 2022:552-553; Riese 2001:56-57,,
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Bakró-Nagy et al. 2022:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Bakró-Nagy et al. 2022:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Bakró-Nagy et al. 2022:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Bakró-Nagy et al. 2022:in passim,,
