ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Zaikov 1987:in passim,,
GB021,Are there indefinite or non-specific articles?,0,Zaikov 1987:in passim,,
GB022,Are there prenominal articles?,0,Zaikov 1987:in passim,,
GB023,Are there postnominal articles?,0,Zaikov 1987:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,Zaikov 1987:in passim,,"GB024-1, GB024-2"
GB025,What is the order of adnominal demonstrative and noun?,1,Zaikov 1987:in passim,,"GB025-1, GB025-2"
GB026,Can adnominal property words occur discontinuously?,0,Zaikov 1987:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Zaikov 1987:in passim,,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Zaikov 1987:125,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Zaikov 1987:125,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,Zaikov 1987:125,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,1,Zaikov 1987:126,,GB035
GB036,Do adnominal demonstratives show an elevation distinction?,0,Zaikov 1987:126,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Zaikov 1987:126,,
GB038,Are there demonstrative classifiers?,0,Zaikov 1987:126,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Zaikov 1987:128-134,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Zaikov 1987:128-134,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Zaikov 1987:128-134,,
GB043,Is there a productive morphological dual marker on nouns?,0,Zaikov 1987:128-134,,
GB044,Is there a productive morphological plural marker on nouns?,0,Zaikov 1987:128-134,,
GB046,Is there an associative plural marker for nouns?,0,Zaikov 1987:128-134,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Zaikov 1987:35,,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Zaikov 1987:164-165,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Zaikov 1987:in passim,No arguments can be presented to define the direction of derivation (verb > noun or noun > verb) in Akkala Saami.,
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Zaikov 1987:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Zaikov 1987:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Zaikov 1987:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Zaikov 1987:in passim,,
GB057,Are there numeral classifiers?,0,Zaikov 1987:128-134,,
GB058,Are there possessive classifiers?,0,Zaikov 1987:135-138,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Zaikov 1987:135-138,"Suffixes are more likely to be used to mark the possessor of some types of inalienable nouns, e.g. kinship terms, than of other nouns. However, the distinction between alienable and inalienable nouns is not really grammaticalised in this way.",
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Zaikov 1987:in passim,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Zaikov 1987:in passim,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Zaikov 1987:in passim,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Zaikov 1987:117-119,,"GB070-1, GB070-2, GB070-3"
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Zaikov 1987:120-121,,"GB071-1, GB071-2, GB071-3"
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Zaikov 1987:120-121,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Zaikov 1987:120-121,,GB073
GB074,Are there prepositions?,1,Zaikov 1987:in passim,,GB074
GB075,Are there postpositions?,1,Zaikov 1987:in passim,,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Zaikov 1987:140-159,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Zaikov 1987:140-159,,GB080
GB081,Is there productive infixation in verbs?,0,Zaikov 1987:140-159,,
GB082,Is there overt morphological marking of present tense on verbs?,1,Zaikov 1987:140-159,The present tense is marked cumulatively with number and person of S/A participant.,GB082
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Zaikov 1987:140-159,"The past tense is marked cumulatively with the number and person of the S/A participant, but for some stem types a separate tense and person marker can be distinguished.",GB083
