ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,von Gertten 2015:in passim,,
GB021,Are there indefinite or non-specific articles?,0,von Gertten 2015:in passim,,
GB022,Are there prenominal articles?,0,von Gertten 2015:in passim,,
GB023,Are there postnominal articles?,0,von Gertten 2015:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,von Gertten 2015:80,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,von Gertten 2015:76,,GB025
GB026,Can adnominal property words occur discontinuously?,0,von Gertten 2015:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"von Gertten 2015:63, 96",,"GB024, GB027"
GB028,Is there a distinction between inclusive and exclusive?,0,von Gertten 2015:in passim,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,von Gertten 2015:in passim,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,1,von Gertten 2015:60,,GB031
GB035,Are there three or more distance contrasts in adnominal demonstratives?,1,von Gertten 2015:75,,GB035
GB036,Do adnominal demonstratives show an elevation distinction?,0,von Gertten 2015:in passim,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,von Gertten 2015:in passim,,
GB038,Are there demonstrative classifiers?,0,von Gertten 2015:in passim,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,von Gertten 2015:in passim,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,von Gertten 2015:64,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,von Gertten 2015:64,,
GB043,Is there a productive morphological dual marker on nouns?,0,von Gertten 2015:64,,
GB044,Is there a productive morphological plural marker on nouns?,1,von Gertten 2015:64,,GB027
GB046,Is there an associative plural marker for nouns?,0,von Gertten 2015:in passim,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,von Gertten 2015:99,,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,von Gertten 2015:100,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,von Gertten 2015:99,,GB049
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,von Gertten 2015:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,von Gertten 2015:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,von Gertten 2015:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,von Gertten 2015:in passim,,
GB057,Are there numeral classifiers?,0,von Gertten 2015:in passim,,
GB058,Are there possessive classifiers?,0,von Gertten 2015:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,von Gertten 2015:in passim,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,von Gertten 2015:106,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,von Gertten 2015:in passim,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,von Gertten 2015:in passim,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,von Gertten 2015:64,,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,von Gertten 2015:72-73,,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,von Gertten 2015:64,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,von Gertten 2015:72-73,,GB073
GB074,Are there prepositions?,1,von Gertten 2015:77,,GB074
GB075,Are there postpositions?,1,von Gertten 2015:77,,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,von Gertten 2015:in passim,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,von Gertten 2015:82,,GB080
GB081,Is there productive infixation in verbs?,0,von Gertten 2015:in passim,,
GB082,Is there overt morphological marking of present tense on verbs?,0,von Gertten 2015:in passim,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,von Gertten 2015:82,,GB080
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,von Gertten 2015:in passim,,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,von Gertten 2015:in passim,,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,von Gertten 2015:82,,GB080
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,von Gertten 2015:in passim,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,von Gertten 2015:in passim,,
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,von Gertten 2015:in passim,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,von Gertten 2015:in passim,,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,von Gertten 2015:in passim,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,von Gertten 2015:in passim,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,von Gertten 2015:in passim,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,von Gertten 2015:in passim,,
GB099,Is there verb suppletion for participant person?,0,von Gertten 2015:in passim,,
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,von Gertten 2015:in passim,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,von Gertten 2015:in passim,,
GB105,Can the recipient in a ditransitive construction be marked like the transitive patient?,0,von Gertten 2015:in passim,,
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,von Gertten 2015:in passim,,
GB108,Is there directional or locative morphological marking on verbs?,0,von Gertten 2015:in passim,,
GB109,Is there verb suppletion for participant number?,0,von Gertten 2015:in passim,,
GB110,Is there verb suppletion for tense or aspect?,0,von Gertten 2015:in passim,,
GB111,Are there conjugation classes?,0,von Gertten 2015:in passim,,
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,von Gertten 2015:101,,GB113
GB114,Is there a phonologically bound reflexive marker on the verb?,1,von Gertten 2015:101,,GB114
GB115,Is there a phonologically bound reciprocal marker on the verb?,0,von Gertten 2015:in passim,,
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,von Gertten 2015:in passim,,
GB117,Is there a copula for predicate nominals?,1,von Gertten 2015:112,,GB117
GB118,Are there serial verb constructions?,0,von Gertten 2015:in passim,,
GB119,Can mood be marked by an inflecting word (‘auxiliary verb’)?,1,Schlachter 1958:XVIII,,
GB120,Can aspect be marked by an inflecting word (‘auxiliary verb’)?,0,von Gertten 2015:in passim,,
GB121,Can tense be marked by an inflecting word (‘auxiliary verb’)?,1,von Gertten 2015:109,,GB121
GB122,Is verb compounding a regular process?,0,von Gertten 2015:in passim,,
GB123,Are there verb-adjunct (aka light-verb) constructions?,0,von Gertten 2015:in passim,,
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,von Gertten 2015:in passim,,
GB126,Is there an existential verb?,1,von Gertten 2015:112,,GB126
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?,0,von Gertten 2015:in passim,,
GB129,Is there a notably small number of verb roots in the language?,0,von Gertten 2015:in passim,,
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,von Gertten 2015:105-106,,GB130
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,von Gertten 2015:105-106,,
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,0,von Gertten 2015:105-106,,
GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,1,von Gertten 2015:105-106,,GB133
GB134,Is the order of constituents the same in main and subordinate clauses?,1,von Gertten 2015:111-117,,"GB134-1, GB134-2"
GB135,Do clausal objects usually occur in the same position as nominal objects?,1,von Gertten 2015:111-117,,GB135
GB136,"Is the order of core argument (i.e. S, A, and P) constituents fixed?",0,von Gertten 2015:105-106,,
GB137,Can standard negation be marked clause-finally?,0,von Gertten 2015:in passim,,
GB138,Can standard negation be marked clause-initially?,0,von Gertten 2015:in passim,,
GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?,1,von Gertten 2015:90-91,,"GB139-1, GB139-2"
GB140,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",1,von Gertten 2015:109-111,,"GB140-1, GB140-2"
GB146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,0,von Gertten 2015:in passim,,
GB147,Is there a morphological passive marked on the lexical verb?,1,von Gertten 2015:117,,GB147
GB148,Is there a morphological antipassive marked on the lexical verb?,0,von Gertten 2015:in passim,,
