ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Ylikoski_South 2022:126,"The demonstrative pronoun dihte 'it, that' occurs highly frequently in nominal phrases, where it resembles a definite article. ",GB020
GB021,Are there indefinite or non-specific articles?,0,Ylikoski_South 2022:126,"The numeral akte 'one' occurs highly frequently in nominal phrases, where it resembles an indefinite article.",GB020
GB022,Are there prenominal articles?,0,Ylikoski_South 2022:126,"The demonstrative noun dihte 'it, that' and the numeral akte 'one' appear highly frequently in nominal phrases, where they resemble prenominal articles.",GB020
GB023,Are there postnominal articles?,0,Ylikoski_South 2022:126,,
GB024,What is the order of numeral and noun in the NP?,1,Kowalik 2023:182,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Kowalik 2023:110,,GB025
GB026,Can adnominal property words occur discontinuously?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Kowalik 2023:169, 332",,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Kowalik 2023:100,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Kowalik 2023:100,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,1,Kowalik 2023:100,,GB031
GB035,Are there three or more distance contrasts in adnominal demonstratives?,1,Kowalik 2023:109-110,,GB035
GB036,Do adnominal demonstratives show an elevation distinction?,0,Kowalik 2023:109-110,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Kowalik 2023:109-110,,
GB038,Are there demonstrative classifiers?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Kowalik 2023:133,,
GB043,Is there a productive morphological dual marker on nouns?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB044,Is there a productive morphological plural marker on nouns?,1,Kowalik 2023:133,,GB044
GB046,Is there an associative plural marker for nouns?,1,Kowalik 2023:179,South Saami has an associative plural formed with plural pronouns. It seems to be restricted to proper names as focal referents.,GB046
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Kowalik 2023:375,,"GB047-1, GB047-2, GB047-3"
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Kowalik 2023:375,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Kowalik 2023:375,,"GB049-1, GB049-2, GB049-3"
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB057,Are there numeral classifiers?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB058,Are there possessive classifiers?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Kowalik 2023:181,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Kowalik 2023:145,,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Kowalik 2023:102,,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Kowalik 2023:145,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Kowalik 2023:102,,GB073
GB074,Are there prepositions?,1,Kowalik 2023:279,,GB074
GB075,Are there postpositions?,1,Kowalik 2023:279,,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Kowalik 2023:205,"Past tense is marked by the segmentable morpheme -i-/-ji-, which attaches to the verb stem and is followed by the subject marker.",GB080
GB081,Is there productive infixation in verbs?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB082,Is there overt morphological marking of present tense on verbs?,0,Kowalik 2023:203,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Kowalik 2023:205,,GB080
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Kowalik 2023:203,,GB089
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Kowalik 2023:203,,GB089
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB099,Is there verb suppletion for participant person?,0,Kowalik 2023:215,"According to the literature, only the paradigm of the copula verb shows suppletion: the infinitive is arredh ‘to be’ (cf. the verb arredh ‘to be, live, dwell’), whereas most inflected forms are based on the stem lea-.",GB099
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB105,Can the recipient in a ditransitive construction be marked like the transitive patient?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,Kowalik 2023:351,,
GB108,Is there directional or locative morphological marking on verbs?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB109,Is there verb suppletion for participant number?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB110,Is there verb suppletion for tense or aspect?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB111,Are there conjugation classes?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,Kowalik 2023:381,,GB113
GB114,Is there a phonologically bound reflexive marker on the verb?,0,Kowalik 2023:374,"Many verbal suffixes commonly found in other Saamic languages (e.g., causatives, inchoatives, and reflexives) are either unattested or occur only rarely in South Saami (Kowalik 2023:374).",
GB115,Is there a phonologically bound reciprocal marker on the verb?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB117,Is there a copula for predicate nominals?,1,Kowalik 2023:317,The copula can be omitted (Kowalik 2023:317).,GB117
GB118,Are there serial verb constructions?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB119,Can mood be marked by an inflecting word (‘auxiliary verb’)?,1,Kowalik 2023:216-217; Ylikoski_South 2022:124,,
GB120,Can aspect be marked by an inflecting word (‘auxiliary verb’)?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB121,Can tense be marked by an inflecting word (‘auxiliary verb’)?,1,Ylikoski_South 2022:123; Kowalik 2023:227-231,,"GB121-1, GB121-2"
GB122,Is verb compounding a regular process?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB123,Are there verb-adjunct (aka light-verb) constructions?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
GB126,Is there an existential verb?,1,Kowalik 2023:322,,"GB126-1, GB126-2"
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?,0,Ylikoski_South 2022:in passim; Kowalik 2023:in passim,,
