ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB138,edtjin naan daaroenalmetjh mijjiem nöödth dannasinie mijjien ietniengiele staaran sjidti,,edtjin naan daaroe-n-almetj-h mijjiem nöödt-h dannasinie mijjien ietnie-n-giele staaran sjidt-i,NEG.PST.3PL some Scandinavian-GEN-people-PL 1PL.ACC reach-CNG therefore 1PL.GEN mother-GEN-language strong become-PST.3SG,"No Scandinavians reached us here, therefore our mother tongue was strong",Kowalik 2023:332
GB139-1,Ih goh vuajneme igke tjuatseme?,,Ih goh vuajne-me igke tjuatse-me?,NEG.2SG PTCL see-PST.PTCP that snow-PST.PTCP,Haven’t you seen that it has snowed?,Kowalik 2023:362
GB139-2,Aellede daan dovres gœrjam åestieh!,,Aelle-de daan dovres gœrja-m åestie-h!,NEG.IMP1-2PL this.GEN expensive book-ACC buy-CNG,Dont buy a book as expensive as this!,Ylikoski_South 2022:123
GB139-3,Ollede daan dovres gœrjam åestieh!,,Olle-de daan dovres gœrja-m åestie-h!,NEG.IMP2-2PL this.GEN expensive book-ACC buy-CNG,Beware of buying a book as expensive as this!,Ylikoski_South 2022:123
GB140-1,Laara ij leah baektesne ,,Laara ij lea-h baekte-sne ,Laara NEG.3SG be-CNG steep.mountain-INE,Laara is not on the mountain,SIKOR
GB140-2,museumisnie ij lij vielie sijjie,,museumi-snie ij lij vielie sijjie,museum-INE NEG.3SG be.PST.CNG more space,There is not more space in the museum,SIKOR
GB140-3,ij leah gujht då riekte almetje akte nåvsere,,ij lea-h gujht då riekte almetje akte nåvsere,NEG.3SG be-CNG certainly PTCL real human one ghost,"It is not a real human, it is a ghost",Kowalik 2023:357
GB147-1,dyövdedh > dyövdeldh,,dyövde-dh > dyövde-ldh,fill-INF > fill-PASS,to fill > be(come) filled,Kowalik 2023:382
GB147-2,jovkedh > jovkeldh,,jovke-dh > jovke-ldh,drink-INF > drink-PASS,to drink > be drunk,Kowalik 2023:382
GB155,manne vaarjah gajhkedem,,manne vaarja-h gajhke-de-m,1.SG clothes-PL dry-TRANS-1SG,I am drying clothes,Kowalik 2023:381
GB167,dihte jeehti satne båata,,dihte jeeht-i satne båata,3SG say-PST.3SG LOG come.3SG,S/he said s/he (herself/himself) will come,Kowalik 2023:114
GB185,dah baahtjh,,dah baahtj-h,DEM.PL boy-PL,these boys,Kowalik 2023:248
GB187-1,laedtie > ladtetje,,laedtie > ladte-tje,bird > bird-DIM,bird > little bird,Kowalik 2023:377
GB187-2,såehkie > såehketje,,såehkie > såehke-tje,birch > birch-DIM,birch > little birch,Kowalik 2023:377
GB193,båeries almetjh,,båeries almetj-h,old human-PL,old people,Kowalik 2023:181
GB203,aahka gaajhke bienh dijpija gåatan,,aahka gaajhke bien-h dijp-ija gåatan,grandmother all dog-PL take-PST.3SG home,Grandmother took all dogs home,Kowalik 2023:187
GB204,dah sinsitnine soptsestien fierhten biejjien,,dah sinsitn-ine soptsestie-n fierhte-n biejjie-n,3PL RECP-COM talk-1DU each-GEN day-GEN,They talk with each other every day,Kowalik 2023:222
GB250,mijjieh de utnibh bovtsh,,mijjieh de utn-i-bh bovts-h,1PL PTCL have-PST-1PL reindeer-PL,We had reindeer,Kowalik 2023:310
GB254,mov lij sygkele,,mov lij sygkele,1SG.GEN be.PST.3SG bicycle,I had a bicycle,Kowalik 2023:309
GB257,vuastam åesteden?,,vuasta-m åeste-den?,cheese-ACC buy-2DU,Did you two buy cheese?,Kowalik 2023:345
GB262-1,mah guarkah?,,mah guarka-h?,Q understand-2SG,Do you understand?,Kowalik 2023:343
GB262-2,mejtie datne maahtah dab otnelidh?,,mejtie datne maahta-h dab otneli-dh?,Q 2SG can-2SG DEM.ACC hold-INF,Can you hold this for a bit?,Kowalik 2023:343
GB262-3,gah dihte dov gärja?,,gah dihte dov gärja?,Q DEM 2SG.GEN book,Is this your book?,Kowalik 2023:343
GB266,"dihte lea båarasobpoe manneste, göökte jaepieh båarasobpoe manneste",,"dihte lea båaras-obpoe manneste, göökte jaepie-h båaras-obpoe manneste",3SG be.3SG old-COMP 1SG.ELA two year-PL old-COMP 1SG.ELA,"He is older than me, two years older than me",Kowalik 2023:256
GB273,manne båeriesabpa enn dihte,,manne båeries-abpa enn dihte,1SG old-COMP than 3SG,I am older than him,Kowalik 2023:256
GB298,im mujhtieh daelie,,im mujhtie-h daelie,NEG.1SG remember-CNG now,I can’t remember now,Kowalik 2023:353
GB301,monnah aehtjie muettien aejkie-n liebo prihtjege-m doelte-me daan gaaltije-n jarge,,monnah aehtjie muettien aejkien liebo prihtjegem doelteme daan gaaltijen jarge,1DU father some time-GEN be.PST.1PL coffee-ACC cook-PST.PTCP DEM.PROX.GEN spring-GEN around,Me and my father have cooked coffee at this spring several times,Kowalik 2023:333
GB304,miesie aarhtseste tjåagkeldh sjidti,,miesie aarhtse-ste tjåagke-ldh sjidt-i,calf eagle-ELA take-PASS.PTCP become-PST.3SG,The calf gets taken by the eagle,Kowalik 2023:168
GB305,manne jijtjemdh biessem,,manne jijtjemdh biesse-m,1SG REFL.ACC wash-1SG,I wash myself,Kowalik 2023:112
GB306-1,dah sinsitnine soptsestien fierhten biejjien,,dah sinsitn-ine soptsestie-n fierhte-n biejjie-n,3PL RECP-COM talk-3DU each-GEN day-GEN,They [these two] talk with each other every day,Kowalik 2023:116
GB306-2,dah gaskemsh soptsesth fierhten biejjien,,dah gaskemsh soptsest-h fierhte-n biejjie-n,3PL RECP talk-3PL every-GEN day-GEN,They talk with each other every day,Kowalik 2023:116
GB313,altese,,altese,3SG.GEN,his/her,Kowalik 2023:104
GB325-1,dusnie jeene almah lijjin,,dusnie jeene alma-h lijjin,there many human-PL be.PST.3PL,There were many people,Kowalik 2023:185
GB325-2,jis datne jeenem jovkh dillie jovkeds sjidth,,jis datne jeene-m jovk-h dillie jovkeds sjidt-h,if 2SG much-ACC drink-2SG then drunk become-2SG,If you drink much then you get drunk,Kowalik 2023:185
GB327,svaale mij onne goetsi,,svaale mij onne goets-i,arctic_fox REL little run_off-PST.3SG,"The arctic fox, that was little, ran off",Kowalik 2023:338
GB333,luhkie > göökte luhkie,,luhkie > göökte luhkie,ten > two ten,ten > twenty,Kowalik 2023:263
GB408,jih tjiejtiegåetiem aaj utniejo,,jih tjiejtie-gåetie-m aaj utnie-j-o,and goat-house-ACC also have-PST.1PL,And we also had a goat hutch,Kowalik 2023:157
GB410,jih desnie aehtjie gellieh vaejsieh vuatjeme,,jih desnie aehtjie gellieh vaejsie-h vuatje-me,and there father many elk-PL shoot-PST.PTCP,And father shot many elks there,Kowalik 2023:156
GB421,dihte guarkaji ahte vejkeli maehtij lieredh tjaelij dam gielem,,dihte guarka-ji ahte vejkeli maehtij lieredh tjaelij dam giele-m,3SG understand-PST.3SG that important be_able.INF learn.INF write.INF DEM.ACC language-ACC ,S/he understood that it was important to be able to learn to write that language,Kowalik 2023:339
GB432,bienen siejpie,,biene-n siejpie,dog-GEN tail,the dogs tail,Kowalik 2023:159
GB522,tjoejkijo jih dle gierestijo våålese,,tjoejk-ij-o jih dle gierest-ij-o våålese,ski-PST-1PL and so downhill_ski-PST-1PL down,We skied and then we skied downhill,Kowalik 2023:302
