ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,Grünthal 2015:in passim,,
GB021,Are there indefinite or non-specific articles?,0,Grünthal 2015:in passim,,
GB022,Are there prenominal articles?,0,Grünthal 2015:in passim,,
GB023,Are there postnominal articles?,0,Grünthal 2015:in passim,,
GB024,What is the order of numeral and noun in the NP?,1,Grünthal 2015:245,,GB024
GB025,What is the order of adnominal demonstrative and noun?,3,"Grünthal 2015:278, 280",,"GB025-1, GB025-2"
GB026,Can adnominal property words occur discontinuously?,0,Grünthal 2015:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Grünthal 2015:127, 336",,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Grünthal 2015:120-148,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Grünthal 2015:in passim,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,Grünthal 2015:120-148,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Grünthal 2015:277-279,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,Grünthal 2015:277-279,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Grünthal 2015:277-279,,
GB038,Are there demonstrative classifiers?,0,Grünthal 2015:277-279,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Grünthal 2015:in passim,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Grünthal 2015:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Grünthal 2015:59-104,,
GB043,Is there a productive morphological dual marker on nouns?,0,Grünthal 2015:59-104,,
GB044,Is there a productive morphological plural marker on nouns?,1,Grünthal 2015:60,,GB044
GB046,Is there an associative plural marker for nouns?,0,Grünthal 2015:59-104,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Grünthal 2015:115,A derivational suffix -nd is used.,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Grünthal 2015:115,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Grünthal 2015:116,,GB049
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Grünthal 2015:59-120,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Grünthal 2015:59-120,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Grünthal 2015:59-120,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Grünthal 2015:59-120,,
GB057,Are there numeral classifiers?,0,Grünthal 2015:244-247,,
GB058,Are there possessive classifiers?,0,Grünthal 2015:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Grünthal 2015:104-110; Grünthal 2022:297-298,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Grünthal 2015:214,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Grünthal 2015:120-171; Grünthal 2022:298,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Grünthal 2015:120-171; Grünthal 2022:298,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Grünthal 2015:66,,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Grünthal 2015:250,,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Grünthal 2015:73,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,"Grünthal 2015:106, 275-276",,GB073
GB074,Are there prepositions?,1,Grünthal 2015:76,,GB074
GB075,Are there postpositions?,1,Grünthal 2015:32,,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Grünthal 2015:120-171,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Grünthal 2015:141,,GB080
GB081,Is there productive infixation in verbs?,0,Grünthal 2015:120-171,,
GB082,Is there overt morphological marking of present tense on verbs?,0,Grünthal 2015:128,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Grünthal 2015:122,,GB083
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,Grünthal 2015:128,,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,Grünthal 2015:120-171,,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Grünthal 2015:180,,GB089
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Grünthal 2015:175-184,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Grünthal 2015:124,,GB091
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Grünthal 2015:175-184,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,Grünthal 2015:175-184,,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Grünthal 2015:175-184,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Grünthal 2015:in passim,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Grünthal 2015:in passim,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Grünthal 2015:in passim,,
GB099,Is there verb suppletion for participant person?,0,Grünthal 2015:120-171,,
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,Grünthal 2015:120-171,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,Grünthal 2015:120-171,,
GB105,Can the recipient in a ditransitive construction be marked like the transitive patient?,0,Grünthal 2015:247-257; Grünthal 2022:304-305,,
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,Grünthal 2022:299,,
GB108,Is there directional or locative morphological marking on verbs?,0,Grünthal 2015:120-171,,
GB109,Is there verb suppletion for participant number?,0,Grünthal 2015:120-171,,
GB110,Is there verb suppletion for tense or aspect?,0,Grünthal 2015:in passim,,
GB111,Are there conjugation classes?,0,Grünthal 2015:in passim,,
