ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB305,čūńi mij jič tuijīm,,čūńi mij jič tuij-īm,winter.shoe.GEN.SG 1PL.NOM REFL.NOM.PL make-PST.1PL,We sewed winter shoes ourselves,Kert and Zaikov 1988:136
GB312-1,kuarčim,,kuar-č-im,sew-COND-1PL,I would sew,Zaikov 1987:152
GB312-2,vuai̭jikki,,vuai̭j-ikki,go-IMP.PL,Go!,Zaikov 1987:154
GB327,mītri jīĺi ɛ̄v́erist īrišk kaĺĺeś ku gańńi jańń,,mītri jīĺ-i ɛ̄v́er-ist īrišk kaĺĺeś ku gańńi jańń,Dmitry.NOM.SG live-PST.3SG Imandra-LOC.SG Irinya.GEN.SG husband.NOM.SG which Ganya.GEN.SG uncle.NOM.SG,"On Imandra lived Dmitry, Irinya’s husband, who was Ganya’s uncle.",Zaikov 1987:175
GB333,лoh́ḱ : loGGiśviDt : vīDtлōγ́,,лoh́ḱ : loGG-iś-viDt : vīDt-лōγ́,ten : ten-SFX-five : five-ten,ten : fifteen : fifty,"Zaikov 1987:45; Kert and Zaikov 1988:37, 56"
GB408,jannam ɛhčam val̄́kiš sā͕jmi juɳ́śti ēv́eŕa,,jann-am ɛhč-am val̄́k-iš sā͕jm-i juɳ́śt-i ēv́eŕ-a,father-NOM.SG.POSS1 mother-NOM.SG.POSS1 go-PST.3PL net-GEN.PL set-INF Imandra-DAT.SG,Father and mother went to Imandra to set nets,Zaikov 1987:118
GB421,nu jōrmuš šti tij jɛp˙ āлk pi̮ллɛ,,nu jōrm-uš šti tij jɛp˙ āлk pi̮лл-ɛ,PTCL think-PST.3PL that 2PL.NOM NEG.2PL begin.CNG fear-INF,Did you think you wouldn't be scared?,Kert and Zaikov 1988:26
GB433,jannam : jannat : jeńńeś,,jann-am : jann-at : jeńń-eś,mother.NOM.SG-POSS.1 : mother.NOM.SG-POSS.2 : mother.NOM.SG-POSS.3,my/our mother : your mother : his/her/their mother,Zaikov 1987:136
GB519,an˙n˙ sij puad˙a͕t˙ mii̭ji garra,,an˙n˙ sij puad˙-a͕t˙ mii̭ji garra,IMP 3PL.NOM come-PRS.3PL 1PL.GEN to,Let them come to us!,Zaikov 1987:155
GB522,jim vuoĺk viGkɛ al̄́ḱep˙ t˙ā͕ĺest˙ vŭŏDDɛ,,jim vuoĺk viGkɛ al̄́ḱ-ep˙ t˙ā͕ĺest˙ vŭŏDD-ɛ,NEG.1PL go.CNG further start-PRS.3SG there sleep-INF,"We will not go further, we will sleep here",Zaikov 1987:176
