ID,Feature,Value,Source,Comment,Example
GB316,Is singular number regularly marked in the noun phrase by a phonologically free element?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB317,Is dual number regularly marked in the noun phrase by a phonologically free element?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB318,Is plural number regularly marked in the noun phrase by a phonologically free element?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB319,Is trial number regularly marked in the noun phrase by a phonologically free element?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB320,Is paucal number regularly marked in the noun phrase by a phonologically free element?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB321,Is there a large class of nouns whose noun class/gender is not phonologically or semantically predictable?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB322,Is there grammatical marking of direct evidence (perceived with the senses)?,0,Kert 1971:in passim,,
GB323,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?",1,Kosheleva 2024,It is one of possible readings of perfect.,"GB323-1, GB323-2"
GB324,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?",0,Kuruč 1985:in passim,,
GB325,Is there a count/mass distinction in interrogative quantifiers?,0,Kuruč 1985:in passim,,
GB326,Do (nominal) content interrogatives normally or frequently occur in situ?,0,Kert 1971:291-292,,
GB327,Can the relative clause follow the noun?,1,Kert 1971:289-291,,GB327
GB328,Can the relative clause precede the noun?,0,Kert 1971:289-291,,
GB329,Are there internally-headed relative clauses?,0,Kert 1971:289-291,,
GB330,Are there correlative relative clauses?,0,Kert 1971:289-291,,
GB331,Are there non-adjacent relative clauses?,0,Kert 1971:289-291,,
GB333,Is there a decimal numeral system?,1,Kert 1971:168-170,,GB333
GB334,Is there synchronic evidence for any element of a quinary numeral system?,0,Kert 1971:168-170,,
GB335,Is there synchronic evidence for any element of a vigesimal numeral system?,0,Kert 1971:168-170,,
GB336,Is there a body-part tallying system?,0,Kert 1971:168-170,,
GB400,"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?",0,Kert 1971:178-209; Rießler 2022:227-231,,
GB401,Is there a class of patient-labile verbs?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB402,Does the verb for ‘see’ have suppletive verb forms?,0,Kuruč 1985:370,,
GB403,Does the verb for ‘come’ have suppletive verb forms?,0,Kuruč 1985:273,,
GB408,Is there any accusative alignment of flagging?,1,Kert 1971:in passim; Rießler 2022:in passim,,GB408
GB409,Is there any ergative alignment of flagging?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB410,Is there any neutral alignment of flagging?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB415,Is there a politeness distinction in second person forms?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB421,Is there a preposed complementizer for complements of verbs of thinking and/or knowing?,1,Kert 1971:289-291,,GB421
GB422,Is there a postposed complementizer for complements of verbs of thinking and/or knowing?,0,Kert 1971:289-291,,
GB430,Can adnominal possession be marked by a prefix on the possessor?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB431,Can adnominal possession be marked by a prefix on the possessed noun?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB432,Can adnominal possession be marked by a suffix on the possessor?,0,Kert 1971:in passim; Rießler 2022:in passim,,
GB433,Can adnominal possession be marked by a suffix on the possessed noun?,1,Kert 1971:156-160,"This is one of several strategies. A possessive suffix may be accompanied by a personal pronoun in the genitive, or the possessor may be marked only by a personal pronoun or a noun in the genitive.",GB433
GB519,Can mood be marked by a non-inflecting word ('auxiliary particle')?,1,Kert 1971:202,,GB519
GB520,Can aspect be marked by a non-inflecting word (‘auxiliary particle’)?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB521,Can tense be marked by a non-inflecting word (‘auxiliary particle’)?,0,Kert 1971:178-209; Rießler 2022:227-231,,
GB522,Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferable from context ('pro-drop')?,1,Kert 1971:in passim; Rießler 2022:in passim,,GB522
