Feature_ID,Value,Source,Comment
GB301,1,UiT 2018: http://gtweb.uit.no/korp/?mode=smj#?cqp=[]&page=0&search=word|m%C3%A5j,
GB302,0,Spiik 1989:88-89,
GB303,0,Spiik 1989:102-111,
GB304,1,"Kintel 1991:30f; Spiik 1989:88; Olle Kejonen, Torgny Hedström (p.c.)",
GB305,1,Spiik 1989:56,
GB306,0,Spiik 1989:56,
GB309,0,Spiik 1989:103,
GB312,0,Spiik 1989:103;105-107,
GB313,0,Spiik 1989:52ff,
GB314,0,Spiik 1989:34ff.,
GB315,0,Spiik 1989:34ff.,
GB316,0,Spiik 1989:7ff.,
GB317,0,Spiik 1989:34ff.,
GB318,0,Spiik 1989:34ff.,
GB319,0,Spiik 1989:34ff.,
GB320,0,Spiik 1989:34ff.,
GB321,0,Spiik 1989:34ff.,
GB322,0,Spiik 1989:11-117,
GB323,0,Spiik 1989:11-117,
GB324,0,Spiik 1989:75ff,
GB325,1,"Olle Kejonen, Torgny Hedström, p.c.",
GB326,0,Spiik 1989:75,
GB327,1,Olle Kejonen (p.c.),
GB328,0,Olle Kejonen (p.c.),
GB329,0,Olle Kejonen (p.c.),
GB330,0,Olle Kejonen (p.c.),
GB331,0,Olle Kejonen (p.c.),
GB333,1,Spiik 1989:46,
GB334,0,Spiik 1989:46,
GB335,0,Spiik 1989:46,
GB336,0,Spiik 1989:46,
GB400,0,Olle Kejonen (p.c.),
GB401,0,Olle Kejonen (p.c.),
GB402,0,Olle Kejonen (p.c.),
GB403,0,Olle Kejonen (p.c.),
GB408,1,Kintel 1991:7;12,
GB409,0,Kintel 1991:7;12,
GB410,0,Kintel 1991:7;12,
GB415,0,Spiik 1989:52,
GB421,1,Olle Kejonen (p.c.),
GB422,0,Olle Kejonen (p.c.),
GB430,0,Spiik 1989:53,
GB431,0,Spiik 1989:53,
GB432,1,Spiik 1989:53,
GB433,1,Spiik 1989:53,"There are ox suffixes, but these are not regularly used."
GB519,0,Spiik 1989:67,
GB520,0,Spiik 1989:67,
GB521,0,Spiik 1989:67,
GB522,1,"Olle Kejonen, Torgny Hedström, p.c.",
