Feature_ID,Value,Source,Comment
GB305,1,Arja Hamari (p.c.),
GB306,0,Arja Hamari (p.c.),
GB309,0,Arja Hamari (p.c.),
GB312,1,Arja Hamari (p.c.),
GB313,0,Arja Hamari (p.c.),
GB314,0,Arja Hamari (p.c.),
GB315,0,Arja Hamari (p.c.),
GB316,0,Arja Hamari (p.c.),
GB317,0,Arja Hamari (p.c.),
GB318,0,Arja Hamari (p.c.),
GB319,0,Arja Hamari (p.c.),
GB320,0,Arja Hamari (p.c.),
GB321,0,Arja Hamari (p.c.),
GB322,0,Arja Hamari (p.c.),
GB323,0,Arja Hamari (p.c.),
GB324,1,Arja Hamari (p.c.),There is a verb do+what
GB325,0,Arja Hamari (p.c.),
GB326,0,Arja Hamari (p.c.),
GB327,1,Arja Hamari (p.c.),
GB328,0,Arja Hamari (p.c.),
GB329,1,Arja Hamari (p.c.),
GB330,1,Arja Hamari (p.c.),
GB331,0,Arja Hamari (p.c.),
GB333,1,Arja Hamari (p.c.),
GB334,0,Arja Hamari (p.c.),
GB335,0,Arja Hamari (p.c.),
GB336,0,Arja Hamari (p.c.),
GB400,0,Arja Hamari (p.c.),
GB401,0,Arja Hamari (p.c.),
GB402,0,Arja Hamari (p.c.),
GB403,0,Arja Hamari (p.c.),
GB408,1,Arja Hamari (p.c.),
GB409,0,Arja Hamari (p.c.),
GB410,0,Arja Hamari (p.c.),
GB415,1,Arja Hamari (p.c.),Russian loan
GB421,0,Arja Hamari (p.c.),
GB422,0,Arja Hamari (p.c.),
GB430,0,Arja Hamari (p.c.),
GB431,0,Arja Hamari (p.c.),
GB432,1,Arja Hamari (p.c.),
GB433,1,Arja Hamari (p.c.),
GB519,1,Arja Hamari (p.c.),only optative.
GB520,0,Arja Hamari (p.c.),
GB521,0,Arja Hamari (p.c.),
GB522,1,Arja Hamari (p.c.),
