Feature_ID,Value,Source,Comment
GB266,1,"Jeremy Bradley, p.c.",
GB270,0,"Jeremy Bradley, p.c.",
GB273,0,"Jeremy Bradley, p.c.","Postpositin ""from"""
GB275,1,"Jeremy Bradley, p.c.",
GB276,0,"Jeremy Bradley, p.c.",
GB285,0,"Jeremy Bradley, p.c.",
GB286,0,"Jeremy Bradley, p.c.",
GB291,0,"Jeremy Bradley, p.c.",
GB296,0,"Jeremy Bradley, p.c.",
GB297,0,"Jeremy Bradley, p.c.",
GB298,1,"Jeremy Bradley, p.c.",
GB299,0,"Jeremy Bradley, p.c.",
GB300,0,"Jeremy Bradley, p.c.",
GB301,?,"Jeremy Bradley, p.c.",
GB302,0,"Jeremy Bradley, p.c.",
GB303,0,"Jeremy Bradley, p.c.",
GB304,?,"Jeremy Bradley, p.c.",Not clear in the language! Jeremy will provide examples
GB305,1,"Jeremy Bradley, p.c.",
GB306,0,"Jeremy Bradley, p.c.",
GB309,0,"Jeremy Bradley, p.c.",complicated picture. J will give examples
GB312,1,"Jeremy Bradley, p.c.",Desiderative has own marker.
GB313,0,"Jeremy Bradley, p.c.",
GB314,0,"Jeremy Bradley, p.c.",
GB315,0,"Jeremy Bradley, p.c.",
GB316,0,"Jeremy Bradley, p.c.",
GB317,0,"Jeremy Bradley, p.c.",
GB318,0,"Jeremy Bradley, p.c.",
GB319,0,"Jeremy Bradley, p.c.",
GB320,0,"Jeremy Bradley, p.c.",
GB321,0,"Jeremy Bradley, p.c.",
GB322,0,"Jeremy Bradley, p.c.",
GB323,0,"Jeremy Bradley, p.c.",
GB324,0,"Jeremy Bradley, p.c.",
GB325,0,"Jeremy Bradley, p.c.",
GB326,1,"Jeremy Bradley, p.c.",
GB327,1,"Jeremy Bradley, p.c.",
GB328,1,"Jeremy Bradley, p.c.",Participle clauses
GB329,0,"Jeremy Bradley, p.c.",
GB330,0,"Jeremy Bradley, p.c.",
GB331,0,"Jeremy Bradley, p.c.",
GB333,1,"Jeremy Bradley, p.c.",
GB334,0,"Jeremy Bradley, p.c.",
GB335,0,"Jeremy Bradley, p.c.",
GB336,0,"Jeremy Bradley, p.c.",
GB400,0,"Jeremy Bradley, p.c.",
GB401,0,"Jeremy Bradley, p.c.",
GB402,0,"Jeremy Bradley, p.c.",
GB403,0,"Jeremy Bradley, p.c.",
GB408,1,"Jeremy Bradley, p.c.",
GB409,0,"Jeremy Bradley, p.c.",
GB410,0,"Jeremy Bradley, p.c.",
GB415,1,"Jeremy Bradley, p.c.",
GB421,0,"Jeremy Bradley, p.c.",
GB422,1,"Jeremy Bradley, p.c.",
GB430,0,"Jeremy Bradley, p.c.",
GB431,0,"Jeremy Bradley, p.c.",
GB432,1,"Jeremy Bradley, p.c.",
GB433,1,"Jeremy Bradley, p.c.",
GB519,?,"Jeremy Bradley, p.c.",conditional…
GB520,0,"Jeremy Bradley, p.c.",
GB521,0,"Jeremy Bradley, p.c.",Only in past tense of necessitive and desiderative construction.
GB522,1,"Jeremy Bradley, p.c.",
