Feature_ID,Value,Source,Comment
GB186,0,"Miina Norvik & Eva Saar, p.c.",
GB187,1,"Miina Norvik & Eva Saar, p.c.",
GB188,0,"Miina Norvik & Eva Saar, p.c.",
GB192,0,"Miina Norvik & Eva Saar, p.c.",
GB193,1,"Miina Norvik & Eva Saar, p.c.",
GB196,0,"Miina Norvik & Eva Saar, p.c.",
GB197,0,"Miina Norvik & Eva Saar, p.c.",
GB198,0,"Miina Norvik & Eva Saar, p.c.",
GB203,1,"Miina Norvik & Eva Saar, p.c.",
GB204,1,"Miina Norvik & Eva Saar, p.c.",
GB250,0,"Miina Norvik & Eva Saar, p.c.",
GB252,1,"Miina Norvik & Eva Saar, p.c.",
GB253,0,"Miina Norvik & Eva Saar, p.c.",
GB254,0,"Miina Norvik & Eva Saar, p.c.",
GB256,0,"Miina Norvik & Eva Saar, p.c.",
GB257,1,"Miina Norvik & Eva Saar, p.c.",
GB260,0,"Miina Norvik & Eva Saar, p.c.",
GB262,1,"Miina Norvik & Eva Saar, p.c.",
GB263,1,"Miina Norvik & Eva Saar, p.c.","The particle vä/või can be used as a single, clause-final interrog marker."
GB264,0,"Miina Norvik & Eva Saar, p.c.",
GB265,0,"Miina Norvik & Eva Saar, p.c.",
GB266,1,"Miina Norvik & Eva Saar, p.c.",The elative case.
GB270,0,"Miina Norvik & Eva Saar, p.c.",
GB273,1,"Miina Norvik & Eva Saar, p.c.",
GB275,1,"Miina Norvik & Eva Saar, p.c.",
GB276,0,"Miina Norvik & Eva Saar, p.c.",
GB285,0,"Miina Norvik & Eva Saar, p.c.",
GB286,0,"Miina Norvik & Eva Saar, p.c.",
GB291,0,"Miina Norvik & Eva Saar, p.c.",
GB296,0,"Miina Norvik & Eva Saar, p.c.",
GB297,0,"Miina Norvik & Eva Saar, p.c.",
GB298,0,"Miina Norvik & Eva Saar, p.c.",
GB299,1,"Miina Norvik & Eva Saar, p.c.",
GB300,0,"Miina Norvik & Eva Saar, p.c.",
GB301,0,"Miina Norvik & Eva Saar, p.c.",
GB302,0,"Miina Norvik & Eva Saar, p.c.",
GB303,0,"Miina Norvik & Eva Saar, p.c.",
GB304,1,"Miina Norvik & Eva Saar, p.c.",
GB305,1,"Miina Norvik & Eva Saar, p.c.",
